rank	hand	abbreviation	description
461	14 13 8 5 4	F	Ace-High Flush
462	14 13 8 5 3	F	Ace-High Flush
463	14 13 8 5 2	F	Ace-High Flush
464	14 13 8 4 3	F	Ace-High Flush
465	14 13 8 4 2	F	Ace-High Flush
466	14 13 8 3 2	F	Ace-High Flush
467	14 13 7 6 5	F	Ace-High Flush
468	14 13 7 6 4	F	Ace-High Flush
469	14 13 7 6 3	F	Ace-High Flush
470	14 13 7 6 2	F	Ace-High Flush
471	14 13 7 5 4	F	Ace-High Flush
472	14 13 7 5 3	F	Ace-High Flush
473	14 13 7 5 2	F	Ace-High Flush
474	14 13 7 4 3	F	Ace-High Flush
475	14 13 7 4 2	F	Ace-High Flush
476	14 13 7 3 2	F	Ace-High Flush
477	14 13 6 5 4	F	Ace-High Flush
478	14 13 6 5 3	F	Ace-High Flush
479	14 13 6 5 2	F	Ace-High Flush
480	14 13 6 4 3	F	Ace-High Flush
481	14 13 6 4 2	F	Ace-High Flush
482	14 13 6 3 2	F	Ace-High Flush
483	14 13 5 4 3	F	Ace-High Flush
484	14 13 5 4 2	F	Ace-High Flush
485	14 13 5 3 2	F	Ace-High Flush
486	14 13 4 3 2	F	Ace-High Flush
487	14 12 11 10 9	F	Ace-High Flush
488	14 12 11 10 8	F	Ace-High Flush
489	14 12 11 10 7	F	Ace-High Flush
490	14 12 11 10 6	F	Ace-High Flush
491	14 12 11 10 5	F	Ace-High Flush
492	14 12 11 10 4	F	Ace-High Flush
493	14 12 11 10 3	F	Ace-High Flush
494	14 12 11 10 2	F	Ace-High Flush
495	14 12 11 9 8	F	Ace-High Flush
496	14 12 11 9 7	F	Ace-High Flush
497	14 12 11 9 6	F	Ace-High Flush
498	14 12 11 9 5	F	Ace-High Flush
499	14 12 11 9 4	F	Ace-High Flush
500	14 12 11 9 3	F	Ace-High Flush
501	14 12 11 9 2	F	Ace-High Flush
502	14 12 11 8 7	F	Ace-High Flush
503	14 12 11 8 6	F	Ace-High Flush
504	14 12 11 8 5	F	Ace-High Flush
505	14 12 11 8 4	F	Ace-High Flush
506	14 12 11 8 3	F	Ace-High Flush
507	14 12 11 8 2	F	Ace-High Flush
508	14 12 11 7 6	F	Ace-High Flush
509	14 12 11 7 5	F	Ace-High Flush
510	14 12 11 7 4	F	Ace-High Flush
511	14 12 11 7 3	F	Ace-High Flush
512	14 12 11 7 2	F	Ace-High Flush
513	14 12 11 6 5	F	Ace-High Flush
514	14 12 11 6 4	F	Ace-High Flush
515	14 12 11 6 3	F	Ace-High Flush
516	14 12 11 6 2	F	Ace-High Flush
517	14 12 11 5 4	F	Ace-High Flush
518	14 12 11 5 3	F	Ace-High Flush
519	14 12 11 5 2	F	Ace-High Flush
520	14 12 11 4 3	F	Ace-High Flush
521	14 12 11 4 2	F	Ace-High Flush
522	14 12 11 3 2	F	Ace-High Flush
523	14 12 10 9 8	F	Ace-High Flush
524	14 12 10 9 7	F	Ace-High Flush
525	14 12 10 9 6	F	Ace-High Flush
526	14 12 10 9 5	F	Ace-High Flush
527	14 12 10 9 4	F	Ace-High Flush
528	14 12 10 9 3	F	Ace-High Flush
529	14 12 10 9 2	F	Ace-High Flush
530	14 12 10 8 7	F	Ace-High Flush
531	14 12 10 8 6	F	Ace-High Flush
532	14 12 10 8 5	F	Ace-High Flush
533	14 12 10 8 4	F	Ace-High Flush
534	14 12 10 8 3	F	Ace-High Flush
535	14 12 10 8 2	F	Ace-High Flush
536	14 12 10 7 6	F	Ace-High Flush
537	14 12 10 7 5	F	Ace-High Flush
538	14 12 10 7 4	F	Ace-High Flush
539	14 12 10 7 3	F	Ace-High Flush
540	14 12 10 7 2	F	Ace-High Flush
541	14 12 10 6 5	F	Ace-High Flush
542	14 12 10 6 4	F	Ace-High Flush
543	14 12 10 6 3	F	Ace-High Flush
544	14 12 10 6 2	F	Ace-High Flush
545	14 12 10 5 4	F	Ace-High Flush
546	14 12 10 5 3	F	Ace-High Flush
547	14 12 10 5 2	F	Ace-High Flush
548	14 12 10 4 3	F	Ace-High Flush
549	14 12 10 4 2	F	Ace-High Flush
550	14 12 10 3 2	F	Ace-High Flush
551	14 12 9 8 7	F	Ace-High Flush
552	14 12 9 8 6	F	Ace-High Flush
553	14 12 9 8 5	F	Ace-High Flush
554	14 12 9 8 4	F	Ace-High Flush
555	14 12 9 8 3	F	Ace-High Flush
556	14 12 9 8 2	F	Ace-High Flush
557	14 12 9 7 6	F	Ace-High Flush
558	14 12 9 7 5	F	Ace-High Flush
559	14 12 9 7 4	F	Ace-High Flush
560	14 12 9 7 3	F	Ace-High Flush
561	14 12 9 7 2	F	Ace-High Flush
562	14 12 9 6 5	F	Ace-High Flush
563	14 12 9 6 4	F	Ace-High Flush
564	14 12 9 6 3	F	Ace-High Flush
565	14 12 9 6 2	F	Ace-High Flush
566	14 12 9 5 4	F	Ace-High Flush
567	14 12 9 5 3	F	Ace-High Flush
568	14 12 9 5 2	F	Ace-High Flush
569	14 12 9 4 3	F	Ace-High Flush
570	14 12 9 4 2	F	Ace-High Flush
571	14 12 9 3 2	F	Ace-High Flush
572	14 12 8 7 6	F	Ace-High Flush
573	14 12 8 7 5	F	Ace-High Flush
574	14 12 8 7 4	F	Ace-High Flush
575	14 12 8 7 3	F	Ace-High Flush
576	14 12 8 7 2	F	Ace-High Flush
577	14 12 8 6 5	F	Ace-High Flush
578	14 12 8 6 4	F	Ace-High Flush
579	14 12 8 6 3	F	Ace-High Flush
580	14 12 8 6 2	F	Ace-High Flush
581	14 12 8 5 4	F	Ace-High Flush
582	14 12 8 5 3	F	Ace-High Flush
583	14 12 8 5 2	F	Ace-High Flush
584	14 12 8 4 3	F	Ace-High Flush
585	14 12 8 4 2	F	Ace-High Flush
586	14 12 8 3 2	F	Ace-High Flush
587	14 12 7 6 5	F	Ace-High Flush
588	14 12 7 6 4	F	Ace-High Flush
589	14 12 7 6 3	F	Ace-High Flush
590	14 12 7 6 2	F	Ace-High Flush
591	14 12 7 5 4	F	Ace-High Flush
592	14 12 7 5 3	F	Ace-High Flush
593	14 12 7 5 2	F	Ace-High Flush
594	14 12 7 4 3	F	Ace-High Flush
595	14 12 7 4 2	F	Ace-High Flush
596	14 12 7 3 2	F	Ace-High Flush
597	14 12 6 5 4	F	Ace-High Flush
