rank	hand	abbreviation	description
5549	4 4 14 11 6	1P	Pair of Fours
5550	4 4 14 11 5	1P	Pair of Fours
5551	4 4 14 11 3	1P	Pair of Fours
5552	4 4 14 11 2	1P	Pair of Fours
5553	4 4 14 10 9	1P	Pair of Fours
5554	4 4 14 10 8	1P	Pair of Fours
5555	4 4 14 10 7	1P	Pair of Fours
5556	4 4 14 10 6	1P	Pair of Fours
5557	4 4 14 10 5	1P	Pair of Fours
5558	4 4 14 10 3	1P	Pair of Fours
5559	4 4 14 10 2	1P	Pair of Fours
5560	4 4 14 9 8	1P	Pair of Fours
5561	4 4 14 9 7	1P	Pair of Fours
5562	4 4 14 9 6	1P	Pair of Fours
5563	4 4 14 9 5	1P	Pair of Fours
5564	4 4 14 9 3	1P	Pair of Fours
5565	4 4 14 9 2	1P	Pair of Fours
5566	4 4 14 8 7	1P	Pair of Fours
5567	4 4 14 8 6	1P	Pair of Fours
5568	4 4 14 8 5	1P	Pair of Fours
5569	4 4 14 8 3	1P	Pair of Fours
5570	4 4 14 8 2	1P	Pair of Fours
5571	4 4 14 7 6	1P	Pair of Fours
5572	4 4 14 7 5	1P	Pair of Fours
5573	4 4 14 7 3	1P	Pair of Fours
5574	4 4 14 7 2	1P	Pair of Fours
5575	4 4 14 6 5	1P	Pair of Fours
5576	4 4 14 6 3	1P	Pair of Fours
5577	4 4 14 6 2	1P	Pair of Fours
5578	4 4 14 5 3	1P	Pair of Fours
5579	4 4 14 5 2	1P	Pair of Fours
5580	4 4 14 3 2	1P	Pair of Fours
5581	4 4 13 12 11	1P	Pair of Fours
5582	4 4 13 12 10	1P	Pair of Fours
5583	4 4 13 12 9	1P	Pair of Fours
5584	4 4 13 12 8	1P	Pair of Fours
5585	4 4 13 12 7	1P	Pair of Fours
5586	4 4 13 12 6	1P	Pair of Fours
5587	4 4 13 12 5	1P	Pair of Fours
5588	4 4 13 12 3	1P	Pair of Fours
5589	4 4 13 12 2	1P	Pair of Fours
5590	4 4 13 11 10	1P	Pair of Fours
5591	4 4 13 11 9	1P	Pair of Fours
5592	4 4 13 11 8	1P	Pair of Fours
5593	4 4 13 11 7	1P	Pair of Fours
5594	4 4 13 11 6	1P	Pair of Fours
5595	4 4 13 11 5	1P	Pair of Fours
5596	4 4 13 11 3	1P	Pair of Fours
5597	4 4 13 11 2	1P	Pair of Fours
5598	4 4 13 10 9	1P	Pair of Fours
5599	4 4 13 10 8	1P	Pair of Fours
5600	4 4 13 10 7	1P	Pair of Fours
5601	4 4 13 10 6	1P	Pair of Fours
5602	4 4 13 10 5	1P	Pair of Fours
5603	4 4 13 10 3	1P	Pair of Fours
5604	4 4 13 10 2	1P	Pair of Fours
5605	4 4 13 9 8	1P	Pair of Fours
5606	4 4 13 9 7	1P	Pair of Fours
5607	4 4 13 9 6	1P	Pair of Fours
5608	4 4 13 9 5	1P	Pair of Fours
5609	4 4 13 9 3	1P	Pair of Fours
5610	4 4 13 9 2	1P	Pair of Fours
5611	4 4 13 8 7	1P	Pair of Fours
5612	4 4 13 8 6	1P	Pair of Fours
5613	4 4 13 8 5	1P	Pair of Fours
5614	4 4 13 8 3	1P	Pair of Fours
5615	4 4 13 8 2	1P	Pair of Fours
5616	4 4 13 7 6	1P	Pair of Fours
5617	4 4 13 7 5	1P	Pair of Fours
5618	4 4 13 7 3	1P	Pair of Fours
5619	4 4 13 7 2	1P	Pair of Fours
5620	4 4 13 6 5	1P	Pair of Fours
5621	4 4 13 6 3	1P	Pair of Fours
5622	4 4 13 6 2	1P	Pair of Fours
5623	4 4 13 5 3	1P	Pair of Fours
5624	4 4 13 5 2	1P	Pair of Fours
5625	4 4 13 3 2	1P	Pair of Fours
5626	4 4 12 11 10	1P	Pair of Fours
5627	4 4 12 11 9	1P	Pair of Fours
5628	4 4 12 11 8	1P	Pair of Fours
5629	4 4 12 11 7	1P	Pair of Fours
5630	4 4 12 11 6	1P	Pair of Fours
5631	4 4 12 11 5	1P	Pair of Fours
5632	4 4 12 11 3	1P	Pair of Fours
5633	4 4 12 11 2	1P	Pair of Fours
5634	4 4 12 10 9	1P	Pair of Fours
5635	4 4 12 10 8	1P	Pair of Fours
5636	4 4 12 10 7	1P	Pair of Fours
5637	4 4 12 10 6	1P	Pair of Fours
5638	4 4 12 10 5	1P	Pair of Fours
5639	4 4 12 10 3	1P	Pair of Fours
5640	4 4 12 10 2	1P	Pair of Fours
5641	4 4 12 9 8	1P	Pair of Fours
5642	4 4 12 9 7	1P	Pair of Fours
5643	4 4 12 9 6	1P	Pair of Fours
5644	4 4 12 9 5	1P	Pair of Fours
5645	4 4 12 9 3	1P	Pair of Fours
5646	4 4 12 9 2	1P	Pair of Fours
5647	4 4 12 8 7	1P	Pair of Fours
5648	4 4 12 8 6	1P	Pair of Fours
5649	4 4 12 8 5	1P	Pair of Fours
5650	4 4 12 8 3	1P	Pair of Fours
5651	4 4 12 8 2	1P	Pair of Fours
5652	4 4 12 7 6	1P	Pair of Fours
5653	4 4 12 7 5	1P	Pair of Fours
5654	4 4 12 7 3	1P	Pair of Fours
5655	4 4 12 7 2	1P	Pair of Fours
5656	4 4 12 6 5	1P	Pair of Fours
5657	4 4 12 6 3	1P	Pair of Fours
5658	4 4 12 6 2	1P	Pair of Fours
5659	4 4 12 5 3	1P	Pair of Fours
5660	4 4 12 5 2	1P	Pair of Fours
5661	4 4 12 3 2	1P	Pair of Fours
5662	4 4 11 10 9	1P	Pair of Fours
5663	4 4 11 10 8	1P	Pair of Fours
5664	4 4 11 10 7	1P	Pair of Fours
5665	4 4 11 10 6	1P	Pair of Fours
5666	4 4 11 10 5	1P	Pair of Fours
5667	4 4 11 10 3	1P	Pair of Fours
5668	4 4 11 10 2	1P	Pair of Fours
5669	4 4 11 9 8	1P	Pair of Fours
5670	4 4 11 9 7	1P	Pair of Fours
5671	4 4 11 9 6	1P	Pair of Fours
5672	4 4 11 9 5	1P	Pair of Fours
5673	4 4 11 9 3	1P	Pair of Fours
5674	4 4 11 9 2	1P	Pair of Fours
5675	4 4 11 8 7	1P	Pair of Fours
5676	4 4 11 8 6	1P	Pair of Fours
5677	4 4 11 8 5	1P	Pair of Fours
5678	4 4 11 8 3	1P	Pair of Fours
5679	4 4 11 8 2	1P	Pair of Fours
5680	4 4 11 7 6	1P	Pair of Fours
5681	4 4 11 7 5	1P	Pair of Fours
5682	4 4 11 7 3	1P	Pair of Fours
5683	4 4 11 7 2	1P	Pair of Fours
5684	4 4 11 6 5	1P	Pair of Fours
5685	4 4 11 6 3	1P	Pair of Fours
5686	4 4 11 6 2	1P	Pair of Fours
5687	4 4 11 5 3	1P	Pair of Fours
5688	4 4 11 5 2	1P	Pair of Fours
5689	4 4 11 3 2	1P	Pair of Fours
5690	4 4 10 9 8	1P	Pair of Fours
5691	4 4 10 9 7	1P	Pair of Fours
5692	4 4 10 9 6	1P	Pair of Fours
5693	4 4 10 9 5	1P	Pair of Fours
5694	4 4 10 9 3	1P	Pair of Fours
5695	4 4 10 9 2	1P	Pair of Fours
5696	4 4 10 8 7	1P	Pair of Fours
5697	4 4 10 8 6	1P	Pair of Fours
5698	4 4 10 8 5	1P	Pair of Fours
5699	4 4 10 8 3	1P	Pair of Fours
5700	4 4 10 8 2	1P	Pair of Fours
5701	4 4 10 7 6	1P	Pair of Fours
5702	4 4 10 7 5	1P	Pair of Fours
5703	4 4 10 7 3	1P	Pair of Fours
5704	4 4 10 7 2	1P	Pair of Fours
5705	4 4 10 6 5	1P	Pair of Fours
5706	4 4 10 6 3	1P	Pair of Fours
5707	4 4 10 6 2	1P	Pair of Fours
5708	4 4 10 5 3	1P	Pair of Fours
5709	4 4 10 5 2	1P	Pair of Fours
5710	4 4 10 3 2	1P	Pair of Fours
5711	4 4 9 8 7	1P	Pair of Fours
5712	4 4 9 8 6	1P	Pair of Fours
5713	4 4 9 8 5	1P	Pair of Fours
5714	4 4 9 8 3	1P	Pair of Fours
5715	4 4 9 8 2	1P	Pair of Fours
5716	4 4 9 7 6	1P	Pair of Fours
5717	4 4 9 7 5	1P	Pair of Fours
5718	4 4 9 7 3	1P	Pair of Fours
5719	4 4 9 7 2	1P	Pair of Fours
5720	4 4 9 6 5	1P	Pair of Fours
5721	4 4 9 6 3	1P	Pair of Fours
5722	4 4 9 6 2	1P	Pair of Fours
5723	4 4 9 5 3	1P	Pair of Fours
5724	4 4 9 5 2	1P	Pair of Fours
5725	4 4 9 3 2	1P	Pair of Fours
5726	4 4 8 7 6	1P	Pair of Fours
5727	4 4 8 7 5	1P	Pair of Fours
5728	4 4 8 7 3	1P	Pair of Fours
5729	4 4 8 7 2	1P	Pair of Fours
5730	4 4 8 6 5	1P	Pair of Fours
5731	4 4 8 6 3	1P	Pair of Fours
5732	4 4 8 6 2	1P	Pair of Fours
5733	4 4 8 5 3	1P	Pair of Fours
5734	4 4 8 5 2	1P	Pair of Fours
5735	4 4 8 3 2	1P	Pair of Fours
5736	4 4 7 6 5	1P	Pair of Fours
5737	4 4 7 6 3	1P	Pair of Fours
5738	4 4 7 6 2	1P	Pair of Fours
5739	4 4 7 5 3	1P	Pair of Fours
5740	4 4 7 5 2	1P	Pair of Fours
5741	4 4 7 3 2	1P	Pair of Fours
5742	4 4 6 5 3	1P	Pair of Fours
5743	4 4 6 5 2	1P	Pair of Fours
5744	4 4 6 3 2	1P	Pair of Fours
5745	4 4 5 3 2	1P	Pair of Fours
5746	3 3 14 13 12	1P	Pair of Treys
5747	3 3 14 13 11	1P	Pair of Treys
5748	3 3 14 13 10	1P	Pair of Treys
5749	3 3 14 13 9	1P	Pair of Treys
5750	3 3 14 13 8	1P	Pair of Treys
5751	3 3 14 13 7	1P	Pair of Treys
5752	3 3 14 13 6	1P	Pair of Treys
5753	3 3 14 13 5	1P	Pair of Treys
5754	3 3 14 13 4	1P	Pair of Treys
5755	3 3 14 13 2	1P	Pair of Treys
5756	3 3 14 12 11	1P	Pair of Treys
5757	3 3 14 12 10	1P	Pair of Treys
5758	3 3 14 12 9	1P	Pair of Treys
5759	3 3 14 12 8	1P	Pair of Treys
5760	3 3 14 12 7	1P	Pair of Treys
5761	3 3 14 12 6	1P	Pair of Treys
5762	3 3 14 12 5	1P	Pair of Treys
5763	3 3 14 12 4	1P	Pair of Treys
5764	3 3 14 12 2	1P	Pair of Treys
5765	3 3 14 11 10	1P	Pair of Treys
5766	3 3 14 11 9	1P	Pair of Treys
5767	3 3 14 11 8	1P	Pair of Treys
5768	3 3 14 11 7	1P	Pair of Treys
5769	3 3 14 11 6	1P	Pair of Treys
5770	3 3 14 11 5	1P	Pair of Treys
5771	3 3 14 11 4	1P	Pair of Treys
5772	3 3 14 11 2	1P	Pair of Treys
5773	3 3 14 10 9	1P	Pair of Treys
5774	3 3 14 10 8	1P	Pair of Treys
5775	3 3 14 10 7	1P	Pair of Treys
5776	3 3 14 10 6	1P	Pair of Treys
5777	3 3 14 10 5	1P	Pair of Treys
5778	3 3 14 10 4	1P	Pair of Treys
5779	3 3 14 10 2	1P	Pair of Treys
5780	3 3 14 9 8	1P	Pair of Treys
5781	3 3 14 9 7	1P	Pair of Treys
5782	3 3 14 9 6	1P	Pair of Treys
5783	3 3 14 9 5	1P	Pair of Treys
5784	3 3 14 9 4	1P	Pair of Treys
5785	3 3 14 9 2	1P	Pair of Treys
5786	3 3 14 8 7	1P	Pair of Treys
5787	3 3 14 8 6	1P	Pair of Treys
5788	3 3 14 8 5	1P	Pair of Treys
5789	3 3 14 8 4	1P	Pair of Treys
5790	3 3 14 8 2	1P	Pair of Treys
5791	3 3 14 7 6	1P	Pair of Treys
5792	3 3 14 7 5	1P	Pair of Treys
5793	3 3 14 7 4	1P	Pair of Treys
5794	3 3 14 7 2	1P	Pair of Treys
5795	3 3 14 6 5	1P	Pair of Treys
5796	3 3 14 6 4	1P	Pair of Treys
5797	3 3 14 6 2	1P	Pair of Treys
5798	3 3 14 5 4	1P	Pair of Treys
5799	3 3 14 5 2	1P	Pair of Treys
5800	3 3 14 4 2	1P	Pair of Treys
5801	3 3 13 12 11	1P	Pair of Treys
5802	3 3 13 12 10	1P	Pair of Treys
5803	3 3 13 12 9	1P	Pair of Treys
5804	3 3 13 12 8	1P	Pair of Treys
5805	3 3 13 12 7	1P	Pair of Treys
5806	3 3 13 12 6	1P	Pair of Treys
5807	3 3 13 12 5	1P	Pair of Treys
5808	3 3 13 12 4	1P	Pair of Treys
5809	3 3 13 12 2	1P	Pair of Treys
5810	3 3 13 11 10	1P	Pair of Treys
5811	3 3 13 11 9	1P	Pair of Treys
5812	3 3 13 11 8	1P	Pair of Treys
5813	3 3 13 11 7	1P	Pair of Treys
5814	3 3 13 11 6	1P	Pair of Treys
5815	3 3 13 11 5	1P	Pair of Treys
5816	3 3 13 11 4	1P	Pair of Treys
5817	3 3 13 11 2	1P	Pair of Treys
5818	3 3 13 10 9	1P	Pair of Treys
5819	3 3 13 10 8	1P	Pair of Treys
5820	3 3 13 10 7	1P	Pair of Treys
5821	3 3 13 10 6	1P	Pair of Treys
5822	3 3 13 10 5	1P	Pair of Treys
5823	3 3 13 10 4	1P	Pair of Treys
5824	3 3 13 10 2	1P	Pair of Treys
5825	3 3 13 9 8	1P	Pair of Treys
5826	3 3 13 9 7	1P	Pair of Treys
5827	3 3 13 9 6	1P	Pair of Treys
5828	3 3 13 9 5	1P	Pair of Treys
5829	3 3 13 9 4	1P	Pair of Treys
5830	3 3 13 9 2	1P	Pair of Treys
5831	3 3 13 8 7	1P	Pair of Treys
5832	3 3 13 8 6	1P	Pair of Treys
5833	3 3 13 8 5	1P	Pair of Treys
5834	3 3 13 8 4	1P	Pair of Treys
5835	3 3 13 8 2	1P	Pair of Treys
5836	3 3 13 7 6	1P	Pair of Treys
5837	3 3 13 7 5	1P	Pair of Treys
5838	3 3 13 7 4	1P	Pair of Treys
5839	3 3 13 7 2	1P	Pair of Treys
5840	3 3 13 6 5	1P	Pair of Treys
5841	3 3 13 6 4	1P	Pair of Treys
5842	3 3 13 6 2	1P	Pair of Treys
5843	3 3 13 5 4	1P	Pair of Treys
5844	3 3 13 5 2	1P	Pair of Treys
5845	3 3 13 4 2	1P	Pair of Treys
5846	3 3 12 11 10	1P	Pair of Treys
5847	3 3 12 11 9	1P	Pair of Treys
5848	3 3 12 11 8	1P	Pair of Treys
5849	3 3 12 11 7	1P	Pair of Treys
5850	3 3 12 11 6	1P	Pair of Treys
5851	3 3 12 11 5	1P	Pair of Treys
5852	3 3 12 11 4	1P	Pair of Treys
5853	3 3 12 11 2	1P	Pair of Treys
5854	3 3 12 10 9	1P	Pair of Treys
5855	3 3 12 10 8	1P	Pair of Treys
5856	3 3 12 10 7	1P	Pair of Treys
5857	3 3 12 10 6	1P	Pair of Treys
5858	3 3 12 10 5	1P	Pair of Treys
5859	3 3 12 10 4	1P	Pair of Treys
5860	3 3 12 10 2	1P	Pair of Treys
5861	3 3 12 9 8	1P	Pair of Treys
5862	3 3 12 9 7	1P	Pair of Treys
5863	3 3 12 9 6	1P	Pair of Treys
5864	3 3 12 9 5	1P	Pair of Treys
5865	3 3 12 9 4	1P	Pair of Treys
5866	3 3 12 9 2	1P	Pair of Treys
5867	3 3 12 8 7	1P	Pair of Treys
5868	3 3 12 8 6	1P	Pair of Treys
5869	3 3 12 8 5	1P	Pair of Treys
5870	3 3 12 8 4	1P	Pair of Treys
5871	3 3 12 8 2	1P	Pair of Treys
5872	3 3 12 7 6	1P	Pair of Treys
5873	3 3 12 7 5	1P	Pair of Treys
5874	3 3 12 7 4	1P	Pair of Treys
5875	3 3 12 7 2	1P	Pair of Treys
5876	3 3 12 6 5	1P	Pair of Treys
5877	3 3 12 6 4	1P	Pair of Treys
5878	3 3 12 6 2	1P	Pair of Treys
5879	3 3 12 5 4	1P	Pair of Treys
5880	3 3 12 5 2	1P	Pair of Treys
5881	3 3 12 4 2	1P	Pair of Treys
5882	3 3 11 10 9	1P	Pair of Treys
5883	3 3 11 10 8	1P	Pair of Treys
5884	3 3 11 10 7	1P	Pair of Treys
5885	3 3 11 10 6	1P	Pair of Treys
5886	3 3 11 10 5	1P	Pair of Treys
5887	3 3 11 10 4	1P	Pair of Treys
5888	3 3 11 10 2	1P	Pair of Treys
5889	3 3 11 9 8	1P	Pair of Treys
5890	3 3 11 9 7	1P	Pair of Treys
5891	3 3 11 9 6	1P	Pair of Treys
5892	3 3 11 9 5	1P	Pair of Treys
5893	3 3 11 9 4	1P	Pair of Treys
5894	3 3 11 9 2	1P	Pair of Treys
5895	3 3 11 8 7	1P	Pair of Treys
5896	3 3 11 8 6	1P	Pair of Treys
5897	3 3 11 8 5	1P	Pair of Treys
5898	3 3 11 8 4	1P	Pair of Treys
5899	3 3 11 8 2	1P	Pair of Treys
5900	3 3 11 7 6	1P	Pair of Treys
5901	3 3 11 7 5	1P	Pair of Treys
5902	3 3 11 7 4	1P	Pair of Treys
5903	3 3 11 7 2	1P	Pair of Treys
5904	3 3 11 6 5	1P	Pair of Treys
5905	3 3 11 6 4	1P	Pair of Treys
5906	3 3 11 6 2	1P	Pair of Treys
5907	3 3 11 5 4	1P	Pair of Treys
5908	3 3 11 5 2	1P	Pair of Treys
5909	3 3 11 4 2	1P	Pair of Treys
5910	3 3 10 9 8	1P	Pair of Treys
5911	3 3 10 9 7	1P	Pair of Treys
5912	3 3 10 9 6	1P	Pair of Treys
5913	3 3 10 9 5	1P	Pair of Treys
5914	3 3 10 9 4	1P	Pair of Treys
5915	3 3 10 9 2	1P	Pair of Treys
5916	3 3 10 8 7	1P	Pair of Treys
5917	3 3 10 8 6	1P	Pair of Treys
5918	3 3 10 8 5	1P	Pair of Treys
5919	3 3 10 8 4	1P	Pair of Treys
5920	3 3 10 8 2	1P	Pair of Treys
5921	3 3 10 7 6	1P	Pair of Treys
5922	3 3 10 7 5	1P	Pair of Treys
5923	3 3 10 7 4	1P	Pair of Treys
5924	3 3 10 7 2	1P	Pair of Treys
5925	3 3 10 6 5	1P	Pair of Treys
5926	3 3 10 6 4	1P	Pair of Treys
5927	3 3 10 6 2	1P	Pair of Treys
5928	3 3 10 5 4	1P	Pair of Treys
5929	3 3 10 5 2	1P	Pair of Treys
5930	3 3 10 4 2	1P	Pair of Treys
5931	3 3 9 8 7	1P	Pair of Treys
5932	3 3 9 8 6	1P	Pair of Treys
5933	3 3 9 8 5	1P	Pair of Treys
5934	3 3 9 8 4	1P	Pair of Treys
5935	3 3 9 8 2	1P	Pair of Treys
5936	3 3 9 7 6	1P	Pair of Treys
5937	3 3 9 7 5	1P	Pair of Treys
5938	3 3 9 7 4	1P	Pair of Treys
5939	3 3 9 7 2	1P	Pair of Treys
5940	3 3 9 6 5	1P	Pair of Treys
5941	3 3 9 6 4	1P	Pair of Treys
5942	3 3 9 6 2	1P	Pair of Treys
5943	3 3 9 5 4	1P	Pair of Treys
5944	3 3 9 5 2	1P	Pair of Treys
5945	3 3 9 4 2	1P	Pair of Treys
5946	3 3 8 7 6	1P	Pair of Treys
5947	3 3 8 7 5	1P	Pair of Treys
5948	3 3 8 7 4	1P	Pair of Treys
5949	3 3 8 7 2	1P	Pair of Treys
5950	3 3 8 6 5	1P	Pair of Treys
5951	3 3 8 6 4	1P	Pair of Treys
5952	3 3 8 6 2	1P	Pair of Treys
5953	3 3 8 5 4	1P	Pair of Treys
5954	3 3 8 5 2	1P	Pair of Treys
5955	3 3 8 4 2	1P	Pair of Treys
5956	3 3 7 6 5	1P	Pair of Treys
5957	3 3 7 6 4	1P	Pair of Treys
5958	3 3 7 6 2	1P	Pair of Treys
5959	3 3 7 5 4	1P	Pair of Treys
5960	3 3 7 5 2	1P	Pair of Treys
5961	3 3 7 4 2	1P	Pair of Treys
5962	3 3 6 5 4	1P	Pair of Treys
5963	3 3 6 5 2	1P	Pair of Treys
5964	3 3 6 4 2	1P	Pair of Treys
5965	3 3 5 4 2	1P	Pair of Treys
5966	2 2 14 13 12	1P	Pair of Deuces
5967	2 2 14 13 11	1P	Pair of Deuces
5968	2 2 14 13 10	1P	Pair of Deuces
5969	2 2 14 13 9	1P	Pair of Deuces
5970	2 2 14 13 8	1P	Pair of Deuces
5971	2 2 14 13 7	1P	Pair of Deuces
5972	2 2 14 13 6	1P	Pair of Deuces
5973	2 2 14 13 5	1P	Pair of Deuces
5974	2 2 14 13 4	1P	Pair of Deuces
5975	2 2 14 13 3	1P	Pair of Deuces
5976	2 2 14 12 11	1P	Pair of Deuces
5977	2 2 14 12 10	1P	Pair of Deuces
5978	2 2 14 12 9	1P	Pair of Deuces
5979	2 2 14 12 8	1P	Pair of Deuces
5980	2 2 14 12 7	1P	Pair of Deuces
5981	2 2 14 12 6	1P	Pair of Deuces
5982	2 2 14 12 5	1P	Pair of Deuces
5983	2 2 14 12 4	1P	Pair of Deuces
5984	2 2 14 12 3	1P	Pair of Deuces
5985	2 2 14 11 10	1P	Pair of Deuces
5986	2 2 14 11 9	1P	Pair of Deuces
5987	2 2 14 11 8	1P	Pair of Deuces
5988	2 2 14 11 7	1P	Pair of Deuces
5989	2 2 14 11 6	1P	Pair of Deuces
5990	2 2 14 11 5	1P	Pair of Deuces
5991	2 2 14 11 4	1P	Pair of Deuces
5992	2 2 14 11 3	1P	Pair of Deuces
5993	2 2 14 10 9	1P	Pair of Deuces
5994	2 2 14 10 8	1P	Pair of Deuces
5995	2 2 14 10 7	1P	Pair of Deuces
5996	2 2 14 10 6	1P	Pair of Deuces
5997	2 2 14 10 5	1P	Pair of Deuces
5998	2 2 14 10 4	1P	Pair of Deuces
5999	2 2 14 10 3	1P	Pair of Deuces
6000	2 2 14 9 8	1P	Pair of Deuces
6001	2 2 14 9 7	1P	Pair of Deuces
6002	2 2 14 9 6	1P	Pair of Deuces
6003	2 2 14 9 5	1P	Pair of Deuces
6004	2 2 14 9 4	1P	Pair of Deuces
6005	2 2 14 9 3	1P	Pair of Deuces
6006	2 2 14 8 7	1P	Pair of Deuces
6007	2 2 14 8 6	1P	Pair of Deuces
6008	2 2 14 8 5	1P	Pair of Deuces
6009	2 2 14 8 4	1P	Pair of Deuces
6010	2 2 14 8 3	1P	Pair of Deuces
6011	2 2 14 7 6	1P	Pair of Deuces
6012	2 2 14 7 5	1P	Pair of Deuces
6013	2 2 14 7 4	1P	Pair of Deuces
6014	2 2 14 7 3	1P	Pair of Deuces
6015	2 2 14 6 5	1P	Pair of Deuces
6016	2 2 14 6 4	1P	Pair of Deuces
6017	2 2 14 6 3	1P	Pair of Deuces
6018	2 2 14 5 4	1P	Pair of Deuces
6019	2 2 14 5 3	1P	Pair of Deuces
6020	2 2 14 4 3	1P	Pair of Deuces
6021	2 2 13 12 11	1P	Pair of Deuces
6022	2 2 13 12 10	1P	Pair of Deuces
6023	2 2 13 12 9	1P	Pair of Deuces
6024	2 2 13 12 8	1P	Pair of Deuces
6025	2 2 13 12 7	1P	Pair of Deuces
6026	2 2 13 12 6	1P	Pair of Deuces
6027	2 2 13 12 5	1P	Pair of Deuces
6028	2 2 13 12 4	1P	Pair of Deuces
6029	2 2 13 12 3	1P	Pair of Deuces
6030	2 2 13 11 10	1P	Pair of Deuces
6031	2 2 13 11 9	1P	Pair of Deuces
6032	2 2 13 11 8	1P	Pair of Deuces
6033	2 2 13 11 7	1P	Pair of Deuces
6034	2 2 13 11 6	1P	Pair of Deuces
6035	2 2 13 11 5	1P	Pair of Deuces
6036	2 2 13 11 4	1P	Pair of Deuces
6037	2 2 13 11 3	1P	Pair of Deuces
6038	2 2 13 10 9	1P	Pair of Deuces
6039	2 2 13 10 8	1P	Pair of Deuces
6040	2 2 13 10 7	1P	Pair of Deuces
6041	2 2 13 10 6	1P	Pair of Deuces
6042	2 2 13 10 5	1P	Pair of Deuces
6043	2 2 13 10 4	1P	Pair of Deuces
6044	2 2 13 10 3	1P	Pair of Deuces
6045	2 2 13 9 8	1P	Pair of Deuces
6046	2 2 13 9 7	1P	Pair of Deuces
6047	2 2 13 9 6	1P	Pair of Deuces
6048	2 2 13 9 5	1P	Pair of Deuces
6049	2 2 13 9 4	1P	Pair of Deuces
6050	2 2 13 9 3	1P	Pair of Deuces
6051	2 2 13 8 7	1P	Pair of Deuces
6052	2 2 13 8 6	1P	Pair of Deuces
6053	2 2 13 8 5	1P	Pair of Deuces
6054	2 2 13 8 4	1P	Pair of Deuces
6055	2 2 13 8 3	1P	Pair of Deuces
6056	2 2 13 7 6	1P	Pair of Deuces
6057	2 2 13 7 5	1P	Pair of Deuces
6058	2 2 13 7 4	1P	Pair of Deuces
6059	2 2 13 7 3	1P	Pair of Deuces
6060	2 2 13 6 5	1P	Pair of Deuces
6061	2 2 13 6 4	1P	Pair of Deuces
6062	2 2 13 6 3	1P	Pair of Deuces
6063	2 2 13 5 4	1P	Pair of Deuces
6064	2 2 13 5 3	1P	Pair of Deuces
6065	2 2 13 4 3	1P	Pair of Deuces
6066	2 2 12 11 10	1P	Pair of Deuces
6067	2 2 12 11 9	1P	Pair of Deuces
6068	2 2 12 11 8	1P	Pair of Deuces
6069	2 2 12 11 7	1P	Pair of Deuces
6070	2 2 12 11 6	1P	Pair of Deuces
6071	2 2 12 11 5	1P	Pair of Deuces
6072	2 2 12 11 4	1P	Pair of Deuces
6073	2 2 12 11 3	1P	Pair of Deuces
6074	2 2 12 10 9	1P	Pair of Deuces
6075	2 2 12 10 8	1P	Pair of Deuces
6076	2 2 12 10 7	1P	Pair of Deuces
6077	2 2 12 10 6	1P	Pair of Deuces
6078	2 2 12 10 5	1P	Pair of Deuces
6079	2 2 12 10 4	1P	Pair of Deuces
6080	2 2 12 10 3	1P	Pair of Deuces
6081	2 2 12 9 8	1P	Pair of Deuces
6082	2 2 12 9 7	1P	Pair of Deuces
6083	2 2 12 9 6	1P	Pair of Deuces
6084	2 2 12 9 5	1P	Pair of Deuces
6085	2 2 12 9 4	1P	Pair of Deuces
6086	2 2 12 9 3	1P	Pair of Deuces
6087	2 2 12 8 7	1P	Pair of Deuces
6088	2 2 12 8 6	1P	Pair of Deuces
6089	2 2 12 8 5	1P	Pair of Deuces
6090	2 2 12 8 4	1P	Pair of Deuces
6091	2 2 12 8 3	1P	Pair of Deuces
6092	2 2 12 7 6	1P	Pair of Deuces
6093	2 2 12 7 5	1P	Pair of Deuces
6094	2 2 12 7 4	1P	Pair of Deuces
6095	2 2 12 7 3	1P	Pair of Deuces
6096	2 2 12 6 5	1P	Pair of Deuces
6097	2 2 12 6 4	1P	Pair of Deuces
6098	2 2 12 6 3	1P	Pair of Deuces
6099	2 2 12 5 4	1P	Pair of Deuces
6100	2 2 12 5 3	1P	Pair of Deuces
6101	2 2 12 4 3	1P	Pair of Deuces
6102	2 2 11 10 9	1P	Pair of Deuces
6103	2 2 11 10 8	1P	Pair of Deuces
6104	2 2 11 10 7	1P	Pair of Deuces
6105	2 2 11 10 6	1P	Pair of Deuces
6106	2 2 11 10 5	1P	Pair of Deuces
6107	2 2 11 10 4	1P	Pair of Deuces
6108	2 2 11 10 3	1P	Pair of Deuces
6109	2 2 11 9 8	1P	Pair of Deuces
6110	2 2 11 9 7	1P	Pair of Deuces
6111	2 2 11 9 6	1P	Pair of Deuces
6112	2 2 11 9 5	1P	Pair of Deuces
6113	2 2 11 9 4	1P	Pair of Deuces
6114	2 2 11 9 3	1P	Pair of Deuces
6115	2 2 11 8 7	1P	Pair of Deuces
6116	2 2 11 8 6	1P	Pair of Deuces
6117	2 2 11 8 5	1P	Pair of Deuces
6118	2 2 11 8 4	1P	Pair of Deuces
6119	2 2 11 8 3	1P	Pair of Deuces
6120	2 2 11 7 6	1P	Pair of Deuces
6121	2 2 11 7 5	1P	Pair of Deuces
6122	2 2 11 7 4	1P	Pair of Deuces
6123	2 2 11 7 3	1P	Pair of Deuces
6124	2 2 11 6 5	1P	Pair of Deuces
